,name,protein,fat,carbohydrates
0,chicken wings,18.6,18.6,0.0
1,fish and_chips,11.0,16.2,21.7
2,french fries,2.38,8.33,22.6
3,hamburger,9.3,4.65,46.5
4,ice cream,2.65,15.0,26.6
5,onion rings,7.14,25.0,57.1
6,pizza,10.6,9.22,19.2
